trial_index,timestamp,trial_name,kind,policy,num_envs,episodes_started,episodes_finished,env_steps,ale_frames,cumulative_env_steps,cumulative_ale_frames,score_mean,score_median,score_min,score_max,min_player_x_alive,best_stable_left_x,notes
0,2026-04-02T12:25:02-07:00,default_left_jump_probe,eval,first_room_left_jump_ram,1,1,1,20000,20000,20000,20000,0.0,0.0,0.0,0.0,999,,default_single_env_probe
1,2026-04-02T12:25:21-07:00,left_jump_probe_small_0000_skull44_x56_jump12x12_tail0x8,eval,first_room_left_jump_ram,1,1,1,500,500,20500,20500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
2,2026-04-02T12:25:22-07:00,left_jump_probe_small_0001_skull44_x56_jump12x12_tail0x16,eval,first_room_left_jump_ram,1,1,1,500,500,21000,21000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
3,2026-04-02T12:25:22-07:00,left_jump_probe_small_0002_skull44_x56_jump12x12_tail3x8,eval,first_room_left_jump_ram,1,1,1,500,500,21500,21500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
4,2026-04-02T12:25:22-07:00,left_jump_probe_small_0003_skull44_x56_jump12x12_tail3x16,eval,first_room_left_jump_ram,1,1,1,500,500,22000,22000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
5,2026-04-02T12:25:22-07:00,left_jump_probe_small_0004_skull44_x56_jump12x12_tail4x8,eval,first_room_left_jump_ram,1,1,1,500,500,22500,22500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
6,2026-04-02T12:25:23-07:00,left_jump_probe_small_0005_skull44_x56_jump12x12_tail4x16,eval,first_room_left_jump_ram,1,1,1,500,500,23000,23000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
7,2026-04-02T12:25:23-07:00,left_jump_probe_small_0006_skull44_x56_jump12x12_tail5x8,eval,first_room_left_jump_ram,1,1,1,500,500,23500,23500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
8,2026-04-02T12:25:23-07:00,left_jump_probe_small_0007_skull44_x56_jump12x12_tail5x16,eval,first_room_left_jump_ram,1,1,1,500,500,24000,24000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
9,2026-04-02T12:25:24-07:00,left_jump_probe_small_0008_skull44_x56_jump12x12_tail12x8,eval,first_room_left_jump_ram,1,1,1,500,500,24500,24500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
10,2026-04-02T12:25:24-07:00,left_jump_probe_small_0009_skull44_x56_jump12x12_tail12x16,eval,first_room_left_jump_ram,1,1,1,500,500,25000,25000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
11,2026-04-02T12:25:24-07:00,left_jump_probe_small_0010_skull44_x56_jump12x12_tail15x8,eval,first_room_left_jump_ram,1,1,1,500,500,25500,25500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
12,2026-04-02T12:25:24-07:00,left_jump_probe_small_0011_skull44_x56_jump12x12_tail15x16,eval,first_room_left_jump_ram,1,1,1,500,500,26000,26000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
13,2026-04-02T12:25:25-07:00,left_jump_probe_small_0012_skull44_x56_jump12x14_tail0x8,eval,first_room_left_jump_ram,1,1,1,500,500,26500,26500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
14,2026-04-02T12:25:25-07:00,left_jump_probe_small_0013_skull44_x56_jump12x14_tail0x16,eval,first_room_left_jump_ram,1,1,1,500,500,27000,27000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
15,2026-04-02T12:25:25-07:00,left_jump_probe_small_0014_skull44_x56_jump12x14_tail3x8,eval,first_room_left_jump_ram,1,1,1,500,500,27500,27500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
16,2026-04-02T12:25:25-07:00,left_jump_probe_small_0015_skull44_x56_jump12x14_tail3x16,eval,first_room_left_jump_ram,1,1,1,500,500,28000,28000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
17,2026-04-02T12:25:26-07:00,left_jump_probe_small_0016_skull44_x56_jump12x14_tail4x8,eval,first_room_left_jump_ram,1,1,1,500,500,28500,28500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
18,2026-04-02T12:25:26-07:00,left_jump_probe_small_0017_skull44_x56_jump12x14_tail4x16,eval,first_room_left_jump_ram,1,1,1,500,500,29000,29000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
19,2026-04-02T12:25:26-07:00,left_jump_probe_small_0018_skull44_x56_jump12x14_tail5x8,eval,first_room_left_jump_ram,1,1,1,500,500,29500,29500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
20,2026-04-02T12:25:26-07:00,left_jump_probe_small_0019_skull44_x56_jump12x14_tail5x16,eval,first_room_left_jump_ram,1,1,1,500,500,30000,30000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
21,2026-04-02T12:25:27-07:00,left_jump_probe_small_0020_skull44_x56_jump12x14_tail12x8,eval,first_room_left_jump_ram,1,1,1,500,500,30500,30500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
22,2026-04-02T12:25:27-07:00,left_jump_probe_small_0021_skull44_x56_jump12x14_tail12x16,eval,first_room_left_jump_ram,1,1,1,500,500,31000,31000,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
23,2026-04-02T12:25:27-07:00,left_jump_probe_small_0022_skull44_x56_jump12x14_tail15x8,eval,first_room_left_jump_ram,1,1,1,500,500,31500,31500,0.0,0.0,0.0,0.0,999,,small_left_jump_grid
