trial_index,timestamp,trial_name,depth,num_candidates,beam_width,episodes_started,episodes_finished,env_steps,ale_frames,cumulative_env_steps,cumulative_ale_frames,score_max,best_score_so_far,best_room_id,best_key_distance,best_key_distance_so_far,best_ranking_score,best_sequence
0,2026-04-02T14:45:29-07:00,archive_probe_v1_depth01,1,42,16,42,42,1008,1008,1008,1008,0.0,0.0,1,72,72,1328.0,"[['DOWN', 24]]"
1,2026-04-02T14:45:29-07:00,archive_probe_v1_depth02,2,84,16,84,84,3472,3472,4480,4480,0.0,0.0,1,57,57,1343.0,"[['DOWN', 24], ['DOWN', 16]]"
2,2026-04-02T14:45:32-07:00,archive_probe_v1_depth03,3,504,16,504,504,28160,28160,32640,32640,0.0,0.0,1,50,50,1150.0,"[['DOWN', 24], ['UP', 16], ['LEFT', 16]]"
3,2026-04-02T14:45:37-07:00,archive_probe_v1_depth04,4,672,16,672,672,50560,50560,83200,83200,0.0,0.0,1,40,40,1160.0,"[['DOWN', 24], ['DOWN', 8], ['DOWN', 24], ['LEFTFIRE', 1]]"
4,2026-04-02T14:45:54-07:00,archive_probe_v2_depth01,1,42,64,42,42,1008,1008,84208,84208,0.0,0.0,1,72,40,1328.0,"[['DOWN', 24]]"
5,2026-04-02T14:45:54-07:00,archive_probe_v2_depth02,2,84,64,84,84,3472,3472,87680,87680,0.0,0.0,1,57,40,1343.0,"[['DOWN', 24], ['DOWN', 16]]"
6,2026-04-02T14:45:58-07:00,archive_probe_v2_depth03,3,504,64,504,504,28160,28160,115840,115840,0.0,0.0,1,50,40,1150.0,"[['DOWN', 24], ['UP', 16], ['LEFT', 16]]"
7,2026-04-02T14:46:18-07:00,archive_probe_v2_depth04,4,2688,64,2688,2688,178176,178176,294016,294016,0.0,0.0,1,40,40,1160.0,"[['DOWN', 24], ['DOWN', 8], ['DOWN', 24], ['LEFTFIRE', 1]]"
8,2026-04-02T14:46:39-07:00,archive_probe_v2_depth05,5,2688,64,2688,2688,216128,216128,510144,510144,0.0,0.0,1,30,30,1170.0,"[['DOWN', 24], ['DOWN', 4], ['DOWN', 24], ['LEFT', 8], ['LEFTFIRE', 1]]"
9,2026-04-02T14:47:01-07:00,archive_probe_v2_depth06,6,2688,64,2688,2688,232000,232000,742144,742144,0.0,0.0,1,28,28,1172.0,"[['DOWN', 24], ['DOWN', 4], ['DOWN', 24], ['LEFT', 4], ['NOOP', 16], ['LEFTFIRE', 1]]"
10,2026-04-02T14:47:23-07:00,archive_probe_v2_depth07,7,2688,64,2688,2688,243776,243776,985920,985920,0.0,0.0,1,29,28,1171.0,"[['DOWN', 24], ['DOWN', 4], ['DOWN', 24], ['LEFT', 4], ['RIGHT', 2], ['DOWN', 16], ['LEFTFIRE', 1]]"
11,2026-04-02T14:47:46-07:00,archive_probe_v2_depth08,8,2688,64,2688,2688,262528,262528,1248448,1248448,0.0,0.0,1,30,28,1370.0,"[['NOOP', 4], ['NOOP', 4], ['DOWN', 24], ['DOWN', 16], ['UP', 4], ['DOWN', 8], ['LEFT', 8], ['UPLEFTFIRE', 8]]"
12,2026-04-02T14:49:12-07:00,archive_probe_v3_depth01,1,42,64,42,42,1008,1008,1249456,1249456,0.0,0.0,1,72,28,1628.0,"[['DOWN', 24]]"
13,2026-04-02T14:49:12-07:00,archive_probe_v3_depth02,2,84,64,84,84,3472,3472,1252928,1252928,0.0,0.0,1,57,28,1643.0,"[['DOWN', 24], ['DOWN', 16]]"
14,2026-04-02T14:49:16-07:00,archive_probe_v3_depth03,3,504,64,504,504,28160,28160,1281088,1281088,0.0,0.0,1,57,28,1643.0,"[['DOWN', 24], ['DOWN', 16], ['NOOP', 4]]"
15,2026-04-02T14:49:34-07:00,archive_probe_v3_depth04,4,2688,64,2688,2688,178176,178176,1459264,1459264,0.0,0.0,1,52,28,1648.0,"[['DOWN', 24], ['DOWN', 4], ['DOWN', 24], ['LEFT', 8]]"
16,2026-04-02T14:49:55-07:00,archive_probe_v3_depth05,5,2688,64,2688,2688,217344,217344,1676608,1676608,0.0,0.0,1,52,28,1648.0,"[['DOWN', 24], ['DOWN', 4], ['DOWN', 24], ['LEFT', 8], ['RIGHT', 4]]"
17,2026-04-02T14:50:16-07:00,archive_probe_v3_depth06,6,2688,64,2688,2688,230016,230016,1906624,1906624,0.0,0.0,1,52,28,1648.0,"[['DOWN', 24], ['DOWN', 16], ['DOWN', 8], ['DOWN', 4], ['LEFT', 8], ['RIGHT', 4]]"
